3e7bfdd,HeathLoganCampbell,3 minutes ago,forgot what I changed
07bc7bd,HeathLoganCampbell,16 minutes ago,add modals
1d271f4,HeathLoganCampbell,89 minutes ago,cancel buttons are now red
fa7cc62,HeathLoganCampbell,2 hours ago,Merge branch 'master' of github.com:uoa-groupify/groupify-view
e22b2ef,HeathLoganCampbell,2 hours ago,small changes
37b3768,Kaine Paki,6 hours ago,Merge branch 'master' of https://github.com/uoa-groupify/groupify-view
aab9a02,HeathLoganCampbell,8 hours ago,add task manager
b2ba525,HeathLoganCampbell,11 hours ago,edit task tweak to css
5b305c5,HeathLoganCampbell,11 hours ago,add task edit screen
8cb4a21,HeathLoganCampbell,12 hours ago,Merge branch 'master' of github.com:uoa-groupify/groupify-view
99549a4,HeathLoganCampbell,12 hours ago,add task menu
dabb10f,Kaine Paki,20 hours ago,Removed logout from the side nav
50d618e,Kaine Paki,23 hours ago,nav bar full sized, main back ground to whitesmoke
ddf209d,Kaine Paki,24 hours ago,Made it so the top nav bar is now visible, projects are closer together
b1e2b4f,Kaine Paki,24 hours ago,dashboard
ce2d768,HeathLoganCampbell,25 hours ago,rip material
cffc645,HeathLoganCampbell,26 hours ago,add grid of project
f6b4488,HeathLoganCampbell,26 hours ago,animation
0d6191b,HeathLoganCampbell,26 hours ago,add swipping
e97adfd,HeathLoganCampbell,27 hours ago,finish navbar outline, hoping someone will play around with it
9a80c2c,HeathLoganCampbell,27 hours ago,Merge branch 'master' of github.com:uoa-groupify/groupify-view
1205b1a,Kaine M Paki,28 hours ago,Update homepage.html
3b79cac,HeathLoganCampbell,28 hours ago,add image and start styling search bar
cecf898,Kaine M Paki,29 hours ago,Update homepage.html
35580f5,HeathLoganCampbell,29 hours ago,add stylesheet and make fragment replace parent <fragment> tag
97eb4c1,HeathLoganCampbell,29 hours ago,add fragment loader
7057efe,HeathLoganCampbell,2 days ago,task manage form
06ba7d0,Justin Kim,2 days ago,Merge branch 'master' of https://github.com/uoa-groupify/groupify-view
e27804c,Justin Kim,2 days ago,Linked tasks.html and homepage.html
88ab6f7,HeathLoganCampbell,2 days ago,Add form
171c083,Justin Kim,2 days ago,Changed sidebar highlight
68d0504,HeathLoganCampbell,2 days ago,Merge branch 'master' of github.com:uoa-groupify/groupify-view
f5cdb02,HeathLoganCampbell,2 days ago,add timestamp to anti cache
45a716c,Justin Kim,2 days ago,Merge branch 'master' of https://github.com/uoa-groupify/groupify-view
655f85b,Justin Kim,2 days ago,Changes to task.html sidenav
e95ed26,HeathLoganCampbell,2 days ago,add anti caching script
f31b79c,Justin Kim,2 days ago,Added task files
cddfc87,HeathLoganCampbell,2 days ago,Fix styles links and move images into images folder
5b7f81c,Kaine M Paki,2 days ago,Add files via upload
52215d6,HeathLoganCampbell,2 days ago,slightly better management
5c62c36,HeathLoganCampbell,2 days ago,slightly better management
6dca570,Justin Kim,2 days ago,Merge branch 'master' of https://github.com/uoa-groupify/groupify-view
6957d26,Kaine M Paki,2 days ago,Update homepage.html
9702e82,Justin Kim,2 days ago,Moved styling from search bar to css sheet
d5ecd71,Kaine M Paki,2 days ago,Update style.css
a3b997a,Han,2 days ago,Added search box and button
e04aa25,Han,2 days ago,Sup
6e1d7aa,Kaine M Paki,2 days ago,Add files via upload
59e2bb5,Kaine M Paki,2 days ago,Update style.css
44ec580,Kaine M Paki,2 days ago,Update PageTemplate.html
dd620b9,Justin Kim,3 days ago,Sidebar Highlight added for Home
eefb6f7,Justin Kim,3 days ago,Added template, css and changed index as home
c785fb7,HeathLoganCampbell,4 days ago,rename title for meme
911abeb,HeathLoganCampbell,4 days ago,add html base
4a246a5,Heath L Campbell,4 days ago,Create README.md
6fa0331,Heath L Campbell,4 days ago,Initial commit
